chapter_number,chapter_country,date,document_type,document_title,release_status,page_count,source_bucket,country_risk_level,country_risk_score,participants,frus_topics,same_date_diary_backup_count,same_date_diary_backup_titles,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_print_lead_count_14_days,nearby_public_statement_count_7_days,nearby_public_statements,context_review_note,source_note,pdf_url,catalog_url
11,Uruguay,1989-09-15,Memcon,Memorandum of Conversation,Full,7,Presidential Memcon Files,Medium,32,"George H. W. Bush; Julio Maria Sanguinetti","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 9/15/1989; [Presidential Daily Diary] 9/15/1989",7,"+0d September 15, 1989 - Presidential Meeting with Uruguayan President; +0d September 15, 1989 - Meeting with Uruguayan President Julio Maria; -2d September 13, 1989 - Presidential Meeting with Uruguayan President; -2d September 13, 1989 - Presidential Meeting with Uruguayan President; -3d September 12, 1989 - Briefing Materials for the President's Meeting; -3d September 12, 1989 - Briefing Materials for the President's Meeting 1; +3d September 18, 1989 - Memorandum of Conversation with Uruguayan",7,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-15--Sanguinetti.pdf,https://catalog.archives.gov/id/428080181
11,Uruguay,1990-02-05,Memcon,Memorandum of Conversation,Full,6,Presidential Memcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 2/5/1990; [Presidential Daily Diary] 2/5/1990",3,"-3d February 2, 1990 - Briefing Materials for the President's Meeting with; -3d February 2, 1990 - President’s Meeting with President-Elect; -4d February 1, 1990 - President’s Meeting with President-Elect",3,1,+0d 1990-02-05 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President-Elect Luis Alberto Lacalle of Uruguay,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1990-June 1990]: February 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-02-05--Lacalle.pdf,https://catalog.archives.gov/id/428080481
11,Uruguay,1990-06-28,Telcon,Memorandum of Telephone Conversation,Full,3,Presidential Telcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 6/28/1990; [Presidential Daily Diary] 6/28/1990",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: June 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-06-28--Lacalle.pdf,https://catalog.archives.gov/id/428080815
11,Uruguay,1990-10-01,Memcon,Memorandum of Conversation,Full,5,Presidential Memcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 10/01/1990; [Presidential Daily Diary] 10/01/1990",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Lacalle.pdf,https://catalog.archives.gov/id/428081103
11,Uruguay,1990-12-04,Memcon,Memorandum of Conversation,Full,4,Presidential Memcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 12/4/1990; [Presidential Daily Diary] 12/4/1990 [EMPTY]",0,,0,9,"+0d 1990-12-04 - Question-and-Answer Session With Reporters in Montevideo, Uruguay; +0d 1990-12-04 - Remarks to a Joint Session of the Congress in Montevideo, Uruguay; -1d 1990-12-03 - Remarks at a Luncheon for the Business Community in Brasilia, Brazil; +1d 1990-12-05 - Question-and-Answer Session With Reporters in Buenos Aires, Argentina; +1d 1990-12-05 - Remarks to a Joint Session of the Congress in Buenos Aires, Argentina; +2d 1990-12-06 - Remarks to a Joint Session of the Congress in Valparaiso, Chile; +3d 1990-12-07 - Toast at a State Dinner in Caracas, Venezuela; -4d 1990-11-30 - Written Responses to Questions Submitted by the South American Press; +4d 1990-12-08 - Remarks at a Luncheon Hosted by the Venezuelan-American Chambers of Commerce in Caracas, Venezuela","Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1990-December 1990]: December 1990. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-12-04--Lacalle.pdf,https://catalog.archives.gov/id/428081235
11,Uruguay,1991-01-16,Telcon,Memorandum of Telephone Conversation,Full,2,Presidential Telcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 1/16/1991; [Presidential Daily Diary] 1/16/1991",0,,0,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1991-April 1991]: January 1991. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-16--Lacalle.pdf,https://catalog.archives.gov/id/428081349
11,Uruguay,1991-05-21,Memcon,Memorandum of Conversation,Full,7,Presidential Memcon Files,Medium,32,"George H. W. Bush; Luis Alberto Lacalle","Latin America; South America; Uruguay; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 5/21/1991; [Presidential Daily Diary] 5/21/1991",0,,0,3,"+0d 1991-05-21 - Exchange With Reporters Prior to a Meeting With President Luis Alberto Lacalle of Uruguay; +0d 1991-05-21 - Statement by Deputy Press Secretary Popadiuk on President Bush's Meeting With President Luis Alberto Lacalle of Uruguay; +2d 1991-05-23 - Remarks to the National Retail Federation","Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1991-June 1991]: May 1991. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-05-21--Lacalle.pdf,https://catalog.archives.gov/id/428081675
12,Venezuela,1989-01-24,Telcon,Memorandum of Telephone Conversation,Full,3,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 1/24/1989; [Presidential Daily Diary] 1/24/1989",11,"+1d January 25, 1989 - Memorandum of Conversation Between the President; +1d January 25, 1989 - Memorandum of Conversation Between the President; +4d January 28, 1989 - Letters from the President to Jaime Lusinchi and; +4d January 28, 1989 - Letters from the President to Jaime Lusinchi and; +6d January 30, 1989 - BRENT SCOWCROFT (@); +6d January 30, 1989 - Presidential Letters for Vice President Quayle to; +6d January 30, 1989 - Presidential Letters for Vice President Quayle to; +7d January 31, 1989 - Request for Travel Orders; +8d February 1, 1989 - Presidential Letters for Vice President Quayle; +13d February 6, 1989 - -"" - Memorandum of Conversation between Vice President",15,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-24--Perez.pdf,https://catalog.archives.gov/id/428079799
12,Venezuela,1989-03-03,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 3/3/1989; [Presidential Daily Diary] 3/3/1989",13,"+0d March 3, 1989 - Additiondl Talking Points for Presidential Call; +0d March 3, 1989 - Additiondl Talking Points for Presidential Call; +0d March 3, 1989 - Instructions from the President to Convey to; +0d March 3, 1989 - Instructions from the President to Convey to; +0d March 3, 1989 - Memorandum of Conversation between the President; +0d March 3, 1989 - Transmittal of Memorandum of Conversation to; +0d March 3, 1989 - Transmittal to the State Department of the; +0d March 3, 1989 - Transmittal to the State Department of the; -1d March 2, 1989 - Presidential Telephone Call to Venezuelan; -1d March 2, 1989 - Presidential Telephone Call to Venezuelan",26,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: March 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-03-03--Perez.pdf,https://catalog.archives.gov/id/428079917
12,Venezuela,1989-04-01,Memcon,Memorandum of Conversation,Full,7,Presidential Memcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 4/1/1989; [Presidential Daily Diary] 4/1/1989",20,"+0d April 1, 1989 - Meeting with President Carlos Andres Perez of; +0d April 1, 1989 - Meeting with President Carlos Andres Perez of; +0d April 1, 1989 - Meeting with President Carlos Perez of; +0d April 1, 1989 - Meeting with President Carlos Perez of; +0d April 1, 1989 - Meeting with President Carlos Perez of; +0d April 1, 1989 - Transmittal of Memcon to the Department of; -2d March 30, 1989 - Guest List for Presidential Breakfast with; +3d April 4, 1989 - Transmittal of Memcon to the Department of; -4d March 28, 1989 - Proposed Response to Venezuelan President; +4d April 5, 1989 - Memorandim of Conversation between President Bush",26,1,+0d 1989-04-01 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Carlos Andres Perez of Venezuela,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: April 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-04-01--Perez.pdf,https://catalog.archives.gov/id/428079937
12,Venezuela,1989-05-10,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 5/10/1989; [Presidential Daily Diary] 5/10/1989",7,"+0d May 10, 1989 - Telephone Call with Carlos Andres Perez of; +8d May 18, 1989 - Telephone call to Venezuelan President Carlos; +8d May 18, 1989 - Telephone call to Venezuelan President Carlos; -12d April 28, 1989 - Transmittal to the State Department of the; -12d April 28, 1989 - Transmittal to the State Department of the; +13d May 23, 1989 - Recommended Presidential Telephone Call to; +13d May 23, 1989 - Recommended Presidential Telephone Call to",7,2,"-1d 1989-05-09 - Interview With Members of the White House Press Corps; +3d 1989-05-13 - Interview With Members of the White House Press Corps on the Situation in Panama","Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: May 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-05-10--Perez.pdf,https://catalog.archives.gov/id/428080003
12,Venezuela,1989-06-23,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 6/23/1989; [Presidential Daily Diary] 6/23/1989",6,"+0d June 23, 1989 - The President’s Telephone Conversation with; -1d June 22, 1989 - Proposed Telephone Call by the President to; -1d June 22, 1989 - Proposed Telephone Call by the President to; -2d June 21, 1989 - Nicaragua -- Recommendation that President; -2d June 21, 1989 - Nicaragua -- Recommendation that President; -6d June 17, 1989 - Panama -~ Recommendation that President Bush",9,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-23--Perez.pdf,https://catalog.archives.gov/id/428080073
12,Venezuela,1989-08-22,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 8/22/1989; [Presidential Daily Diary] 8/22/1989",5,"+0d August 22, 1989 - Telephone Conversation with Carlos; +0d August 22, 1989 - Telephone Conversation with Carlos; +0d August 22, 1989 - Message from President to Prime Minister Manley; +0d August 22, 1989 - Talking Points for Telephone Conversations with; +0d August 22, 1989 - Telephone Calls to President Carlos Andres Perez",8,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-22--Perez.pdf,https://catalog.archives.gov/id/428080211
12,Venezuela,1989-09-25,Memcon,Memorandum of Conversation,Full,5,Presidential Memcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Memcon",2,"[Presidential Daily Backup] 9/25/1989; [Presidential Daily Diary] 9/25/1989",6,"+0d September 25, 1989 - Meeting with Venezuelan President Carlos; +0d September 25, 1989 - Meeting with Venezuelan President Carlos; -5d September 20, 1989 - State Department Proposed Presidential Letter to; +5d September 30, 1989 - Your Meeting with Venezuelan Foreign Minister; -6d September 19, 1989 - Letter to Venezuelan President on Nicaragua; +7d October 2, 1989 - Memorandum of Conversation with Reinaldo",10,1,"+0d 1989-09-25 - Address to the 44th Session of the United Nations General Assembly in New York, New York","Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: September 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-09-25--Perez.pdf,https://catalog.archives.gov/id/428080229
12,Venezuela,1989-11-01,Telcon,Memorandum of Telephone Conversation,Full,4,Presidential Telcon Files,Monitor,18,"George H. W. Bush; Carlos Andres Perez","Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,"[Presidential Daily Backup] 11/1/1989; [Presidential Daily Diary] 11/1/1989",9,"+0d November 1, 1989 - Memorandum of Telephone Conversation with; +0d November 1, 1989 - Telephone Conversation with Venezuelan; +0d November 1, 1989 - Telephone Conversation with Venezuelan; +2d November 3, 1989 - Memorandum of Telephone Conversation with; +2d November 3, 1989 - Memorandum of Telephone Conversation with; -9d October 23, 1989 - President Perez' Letter to President Bush; -9d October 23, 1989 - Memorandum of Conversation with Venezuelan; -9d October 23, 1989 - Memorandum of Conversation with Venezuelan; -9d October 23, 1989 - Request that Mrs. Bush Meet with Asociacion de",12,0,,"Check nearby leads/statements as surrounding evidence; OCR-derived leads require page-image confirmation before selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Declassified.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Perez.pdf,https://catalog.archives.gov/id/428080319
